,actor_id,first_name,last_name,last_update
132,132,Adam,Hopper,2013-05-26 14:47:57.620
133,133,Richard,Penn,2013-05-26 14:47:57.620
134,134,Gene,Hopkins,2013-05-26 14:47:57.620
135,135,Rita,Reynolds,2013-05-26 14:47:57.620
136,136,Ed,Mansfield,2013-05-26 14:47:57.620
137,137,Morgan,Williams,2013-05-26 14:47:57.620
138,138,Lucille,Dee,2013-05-26 14:47:57.620
139,139,Ewan,Gooding,2013-05-26 14:47:57.620
140,140,Whoopi,Hurt,2013-05-26 14:47:57.620
141,141,Cate,Harris,2013-05-26 14:47:57.620
142,142,Jada,Ryder,2013-05-26 14:47:57.620
143,144,Angela,Witherspoon,2013-05-26 14:47:57.620
144,145,Kim,Allen,2013-05-26 14:47:57.620
145,146,Albert,Johansson,2013-05-26 14:47:57.620
146,147,Fay,Winslet,2013-05-26 14:47:57.620
147,148,Emily,Dee,2013-05-26 14:47:57.620
148,149,Russell,Temple,2013-05-26 14:47:57.620
149,150,Jayne,Nolte,2013-05-26 14:47:57.620
150,151,Geoffrey,Heston,2013-05-26 14:47:57.620
151,152,Ben,Harris,2013-05-26 14:47:57.620
152,153,Minnie,Kilmer,2013-05-26 14:47:57.620
153,154,Meryl,Gibson,2013-05-26 14:47:57.620
154,155,Ian,Tandy,2013-05-26 14:47:57.620
155,156,Fay,Wood,2013-05-26 14:47:57.620
156,157,Greta,Malden,2013-05-26 14:47:57.620
157,158,Vivien,Basinger,2013-05-26 14:47:57.620
158,159,Laura,Brody,2013-05-26 14:47:57.620
159,160,Chris,Depp,2013-05-26 14:47:57.620
160,161,Harvey,Hope,2013-05-26 14:47:57.620
161,162,Oprah,Kilmer,2013-05-26 14:47:57.620
162,163,Christopher,West,2013-05-26 14:47:57.620
163,164,Humphrey,Willis,2013-05-26 14:47:57.620
164,165,Al,Garland,2013-05-26 14:47:57.620
165,166,Nick,Degeneres,2013-05-26 14:47:57.620
166,167,Laurence,Bullock,2013-05-26 14:47:57.620
167,168,Will,Wilson,2013-05-26 14:47:57.620
168,169,Kenneth,Hoffman,2013-05-26 14:47:57.620
169,170,Mena,Hopper,2013-05-26 14:47:57.620
170,171,Olympia,Pfeiffer,2013-05-26 14:47:57.620
171,172,Groucho,Williams,2013-05-26 14:47:57.620
172,173,Alan,Dreyfuss,2013-05-26 14:47:57.620
173,174,Michael,Bening,2013-05-26 14:47:57.620
174,175,William,Hackman,2013-05-26 14:47:57.620
175,176,Jon,Chase,2013-05-26 14:47:57.620
176,177,Gene,Mckellen,2013-05-26 14:47:57.620
177,178,Lisa,Monroe,2013-05-26 14:47:57.620
178,179,Ed,Guiness,2013-05-26 14:47:57.620
179,180,Jeff,Silverstone,2013-05-26 14:47:57.620
180,181,Matthew,Carrey,2013-05-26 14:47:57.620
181,182,Debbie,Akroyd,2013-05-26 14:47:57.620
182,183,Russell,Close,2013-05-26 14:47:57.620
183,184,Humphrey,Garland,2013-05-26 14:47:57.620
184,185,Michael,Bolger,2013-05-26 14:47:57.620
185,186,Julia,Zellweger,2013-05-26 14:47:57.620
186,187,Renee,Ball,2013-05-26 14:47:57.620
187,188,Rock,Dukakis,2013-05-26 14:47:57.620
188,189,Cuba,Birch,2013-05-26 14:47:57.620
189,190,Audrey,Bailey,2013-05-26 14:47:57.620
190,191,Gregory,Gooding,2013-05-26 14:47:57.620
191,192,John,Suvari,2013-05-26 14:47:57.620
192,193,Burt,Temple,2013-05-26 14:47:57.620
193,194,Meryl,Allen,2013-05-26 14:47:57.620
194,195,Jayne,Silverstone,2013-05-26 14:47:57.620
195,196,Bela,Walken,2013-05-26 14:47:57.620
196,197,Reese,West,2013-05-26 14:47:57.620
197,198,Mary,Keitel,2013-05-26 14:47:57.620
198,199,Julia,Fawcett,2013-05-26 14:47:57.620
199,200,Thora,Temple,2013-05-26 14:47:57.620
